system:index,dewpoint_temperature_2m,gauge_id,potential_evaporation,snow_depth_water_equivalent,surface_net_solar_radiation,surface_net_thermal_radiation,surface_pressure,temperature_2m,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4,.geo
19941229T00_00000000000000000000,294.1319947070904,3858.0,-0.008056874727031982,-7.345364920210326E-25,1.6414095860750163E7,-3784554.7791572404,97189.26646218562,295.8961378112886,0.0029229516306162515,-2.9544366522185004,0.1641703815411039,0.3365359505257993,0.28639686203584896,0.3138126303254226,0.31895952607525646,"{""type"":""MultiPoint"",""coordinates"":[]}"
19941229T01_00000000000000000000,294.1481530077485,3858.0,-5.387391583357403E-5,-7.345364920210326E-25,0.0,-116088.05850189383,97198.78353263588,295.4324578977506,1.2922613836993042E-4,-2.480157874949859,0.03173291109381985,0.33758147056716425,0.286439790374019,0.31381084749778787,0.31895952607525646,"{""type"":""MultiPoint"",""coordinates"":[]}"
19941229T02_00000000000000000000,294.2351201424825,3858.0,-9.695935328659322E-5,-7.345364920210326E-25,0.0,-201942.27693789772,97177.80224211224,295.2638274939384,2.1720697682060239E-4,-2.2431960056980613,0.005292495212999414,0.338195810413817,0.2864833175367795,0.31381060066325495,0.31895873821153586,"{""type"":""MultiPoint"",""coordinates"":[]}"
19941229T03_00000000000000000000,294.28180856286804,3858.0,-1.4111090774249907E-4,-7.345364920210326E-25,0.0,-245790.07132805517,97101.88945778967,295.23598347335326,3.3303455595789166E-4,-2.1546516649237275,0.05508520060219213,0.33920788337257585,0.28652937686062663,0.3138099773558896,0.31895873821153586,"{""type"":""MultiPoint"",""coordinates"":[]}"
19941229T04_00000000000000000000,294.27059342113773,3858.0,-1.8040682399104844E-4,-7.345364920210326E-25,0.0,-295887.4705402703,97047.59359896136,295.08804147340936,5.488041776581106E-4,-2.172015519086713,0.2193303188235877,0.34140654531845405,0.2865783492333195,0.3138091802609589,0.31895873821153586,"{""type"":""MultiPoint"",""coordinates"":[]}"
19941229T05_00000000000000000000,294.25451106042834,3858.0,-2.1610375666418916E-4,-7.345364920210326E-25,0.0,-355164.22786574776,97012.36674774117,295.0367519056172,6.508868440669767E-4,-2.0102352383348845,0.3888277748882932,0.34226100258789827,0.286633750140507,0.3138091802609589,0.31895873821153586,"{""type"":""MultiPoint"",""coordinates"":[]}"
19941229T06_00000000000000000000,294.20234308840304,3858.0,-2.3906300679923942E-4,-7.345364920210326E-25,0.0,-448332.8697459099,97001.89789828174,294.83484341536456,7.367685956144463E-4,-1.8811172629037347,0.5436976993345463,0.3430607874130448,0.28669301892475774,0.3138091272818397,0.3189583484939237,"{""type"":""MultiPoint"",""coordinates"":[]}"
19941229T07_00000000000000000000,294.0734592148566,3858.0,-2.6786943262743665E-4,-7.345364920210326E-25,0.0,-511784.8872507759,97036.37188100045,294.7486937404135,8.627673522562134E-4,-2.066461680607602,0.8047903188243579,0.34429474695721324,0.2867527605075124,0.3138085132056846,0.3189583484939237,"{""type"":""MultiPoint"",""coordinates"":[]}"
19941229T08_00000000000000000000,293.97456145779483,3858.0,-2.946020982694295E-4,-7.345364920210326E-25,0.0,-596394.5489504972,97068.99017467877,294.67542199698664,9.694007419888904E-4,-1.9547641660232855,0.7601448655899837,0.3453422308382038,0.2868161696902052,0.31380793324487133,0.3189589276520229,"{""type"":""MultiPoint"",""coordinates"":[]}"
19941229T09_00000000000000000000,294.0153948474679,3858.0,-3.399378482170638E-4,-7.345364920210326E-25,56160.23641433005,-641560.3593560944,97133.02455867942,294.82034114163565,0.0011031464225530708,-2.1137307313197304,1.0310010406832886,0.3466292293038257,0.2868805529662502,0.31380753509876286,0.3189585295059144,"{""type"":""MultiPoint"",""coordinates"":[]}"
