system:index,dewpoint_temperature_2m,gauge_id,potential_evaporation,snow_depth_water_equivalent,surface_net_solar_radiation,surface_net_thermal_radiation,surface_pressure,temperature_2m,total_precipitation,u_component_of_wind_10m,v_component_of_wind_10m,volumetric_soil_water_layer_1,volumetric_soil_water_layer_2,volumetric_soil_water_layer_3,volumetric_soil_water_layer_4,.geo
20121224T00_00000000000000000000,292.05292677429065,3858.0,-0.010717286682317351,-7.345364920210326E-25,1.9286033066126566E7,-6444974.215213846,96938.55048903644,295.96957521721043,1.6367666052886752E-4,-3.0681496844486604,0.6877926250479633,0.2525636627921314,0.2775433259544872,0.29575814196911554,0.3601905601606218,"{""type"":""MultiPoint"",""coordinates"":[]}"
20121224T01_00000000000000000000,292.04620134481183,3858.0,-1.2206867248254176E-4,-7.345364920210326E-25,0.0,-205185.13512513807,96949.3220848923,295.5470025319781,3.8581648323636126E-7,-2.795842522855898,0.5426193845661504,0.25254255663345837,0.2775425047781386,0.29575791761057263,0.3601905420995584,"{""type"":""MultiPoint"",""coordinates"":[]}"
20121224T02_00000000000000000000,291.98902261169997,3858.0,-2.2807461923679404E-4,-7.345364920210326E-25,0.0,-386700.4283365774,96955.06050012494,295.25456194446417,1.0708567336906394E-6,-2.564859110412645,0.42182246498221476,0.25252968029933487,0.2775417405944789,0.2957597658593924,0.3601896795834425,"{""type"":""MultiPoint"",""coordinates"":[]}"
20121224T03_00000000000000000000,291.9304650849689,3858.0,-3.17945101123141E-4,-7.345364920210326E-25,0.0,-559761.52112815,96910.09666576519,294.98323294357465,3.147350870250395E-6,-2.3907571299234487,0.3631795746918021,0.2525287443348945,0.2775410478523588,0.295761964091485,0.36018810425735825,"{""type"":""MultiPoint"",""coordinates"":[]}"
20121224T04_00000000000000000000,291.87981671864054,3858.0,-3.9365151784877055E-4,-7.345364920210326E-25,0.0,-732656.3587116632,96851.80611198969,294.70275495851166,8.12062155166287E-6,-2.1557279220854775,0.3290836129135107,0.2525529260919836,0.2775410618998525,0.295761964091485,0.3601872967271464,"{""type"":""MultiPoint"",""coordinates"":[]}"
20121224T05_00000000000000000000,291.84358582493365,3858.0,-4.783808057975388E-4,-7.345364920210326E-25,0.0,-821445.7254063863,96851.88866910078,294.7385008075108,1.4125289384378959E-5,-2.1678598546312045,0.3007330035315463,0.2525807345106008,0.2775409186154163,0.29576456368054166,0.3601867396436803,"{""type"":""MultiPoint"",""coordinates"":[]}"
20121224T06_00000000000000000000,291.8001157487798,3858.0,-5.504265710773407E-4,-7.345364920210326E-25,0.0,-964173.7707007211,96840.61840238502,294.5230114475417,1.808139540870824E-5,-1.965590411217373,0.21085057521243916,0.2526002858123947,0.2775402102203746,0.29576613378898536,0.3601862295189789,"{""type"":""MultiPoint"",""coordinates"":[]}"
20121224T07_00000000000000000000,291.4750808345767,3858.0,-6.213935184297836E-4,-7.345364920210326E-25,0.0,-1086509.3278973117,96857.1083378679,294.3069828195395,1.9635189514909182E-5,-1.9696193913607216,-0.058793093016939184,0.2525981554096291,0.2775384892017125,0.2957663083792647,0.36018387836988297,"{""type"":""MultiPoint"",""coordinates"":[]}"
20121224T08_00000000000000000000,291.4005406080838,3858.0,-6.783842758066217E-4,-7.345364920210326E-25,0.0,-1254662.1589510234,96866.97132382194,294.0388035364597,1.996253903770417E-5,-1.8766364495390124,-0.22275667332531776,0.25258937251518293,0.2775378759282713,0.2957681401724489,0.3601828436716294,"{""type"":""MultiPoint"",""coordinates"":[]}"
20121224T09_00000000000000000000,291.4451697694363,3858.0,-7.531700731366375E-4,-7.345364920210326E-25,138333.39070966377,-1432024.7333631434,96930.8986816278,294.20230506304165,2.0185623350684767E-5,-1.7654620137531474,-0.24260276839786926,0.25257647651456827,0.27753708324826715,0.295767859623931,0.3601824017776119,"{""type"":""MultiPoint"",""coordinates"":[]}"
20121224T10_00000000000000000000,290.86672389899235,3858.0,-9.58308768711227E-4,-7.345364920210326E-25,872142.1329370296,-1639203.358672207,96980.3690786683,295.67812663882074,2.4133687145650165E-5,-2.660733378035722,-0.09190891153890544,0.2525534462506092,0.27752685386332226,0.29576012627794623,0.3601777966078054,"{""type"":""MultiPoint"",""coordinates"":[]}"
20121224T11_00000000000000000000,289.55825702033695,3858.0,-0.0015072334079396508,-7.345364920210326E-25,2170476.5785154384,-1927397.6914356346,97022.61370991201,297.35564921534245,2.5962156200654763E-5,-3.0817918903391575,0.32077670986607565,0.2524371008938455,0.2775088991595316,0.2957427776231714,0.3601687893548163,"{""type"":""MultiPoint"",""coordinates"":[]}"
20121224T12_00000000000000000000,288.69735423177417,3858.0,-0.002404165088862307,-7.345364920210326E-25,4232533.724446313,-2248483.835998738,97047.71183304615,299.40072785796457,2.5962156200654763E-5,-2.973199177606094,0.5438751027750768,0.25223975126643844,0.2774818549245742,0.2957159176110607,0.36015670128577054,"{""type"":""MultiPoint"",""coordinates"":[]}"
20121224T13_00000000000000000000,287.9699135547094,3858.0,-0.003511445193203478,-7.345364920210326E-25,6770192.45031301,-2636548.2876532157,97028.84340600173,301.11280188288805,2.5962156200654763E-5,-2.903773999187833,0.7395916933313249,0.25198810205535344,0.27744959224636906,0.2956820198045836,0.36014347296158944,"{""type"":""MultiPoint"",""coordinates"":[]}"
20121224T14_00000000000000000000,287.3193501784477,3858.0,-0.0047723703851462905,-7.345364920210326E-25,9718876.748277133,-3114717.1370140454,96961.78800564042,302.60396402661934,2.5962156200654763E-5,-2.916601531515241,1.1585470935372615,0.2516727735483387,0.27741092471373036,0.2956417942042102,0.3601267676820281,"{""type"":""MultiPoint"",""coordinates"":[]}"
20121224T15_00000000000000000000,286.6783653844054,3858.0,-0.006080945894640279,-7.345364920210326E-25,1.2730664626492713E7,-3613727.397022463,96884.86359339654,303.6545567608586,2.5962156200654763E-5,-3.05897771456145,1.5619762251482336,0.2513382818517142,0.27737697071727846,0.2956034036078766,0.36010946598601823,"{""type"":""MultiPoint"",""coordinates"":[]}"
20121224T16_00000000000000000000,286.1637115342055,3858.0,-0.0073982567068161375,-7.345364920210326E-25,1.5722867642379919E7,-4146443.2903361553,96797.05087372265,304.2821556290784,2.5962156200654763E-5,-3.262410381164021,1.7762444573566512,0.2510003099888539,0.27734049058009425,0.29556556166651315,0.36009400370897476,"{""type"":""MultiPoint"",""coordinates"":[]}"
20121224T17_00000000000000000000,285.98393559519843,3858.0,-0.00860363109669986,-7.345364920210326E-25,1.8376981015203327E7,-4707571.733073807,96727.48806424749,304.27085913951584,2.5962156200654763E-5,-3.4162507102091744,1.8233932558531583,0.2507051348190792,0.2773115162194964,0.29553574726578935,0.36008055062489414,"{""type"":""MultiPoint"",""coordinates"":[]}"
20121224T18_00000000000000000000,286.2993072785898,3858.0,-0.009599573296442402,-7.345364920210326E-25,2.039305743642485E7,-5248745.012257354,96694.9970470402,303.56785264898934,2.5962156200654763E-5,-3.545047356846695,1.8511180678010453,0.25047593069349966,0.27728743239350645,0.29551198291994285,0.36007105251233773,"{""type"":""MultiPoint"",""coordinates"":[]}"
20121224T19_00000000000000000000,287.80720777209063,3858.0,-0.01037241612095165,-7.345364920210326E-25,2.1721480871692345E7,-5715375.516544788,96732.23329265905,302.3731776411124,2.6418294211794847E-5,-3.5088005372956044,1.972778781070295,0.2503239239677586,0.27727318141178087,0.29549535991855924,0.3600610996623412,"{""type"":""MultiPoint"",""coordinates"":[]}"
20121224T20_00000000000000000000,288.8160850897762,3858.0,-0.010924717842054123,-7.345364920210326E-25,2.2385359800515536E7,-6137188.453101162,96779.61866254144,300.9086069350577,2.641810725156838E-5,-3.4757558913037494,1.6598264975264077,0.2502275521403153,0.2772636728639436,0.2954897922947527,0.36005793656810703,"{""type"":""MultiPoint"",""coordinates"":[]}"
20121224T21_00000000000000000000,289.78981567203004,3858.0,-0.011277305824469775,-7.345364920210326E-25,2.247906853937607E7,-6484232.44205376,96818.69843725338,299.3332706732164,2.6490644291882485E-5,-3.1714981964495017,1.168188483305297,0.2501777939106866,0.2772614180405191,0.2954888298407528,0.3600568219998176,"{""type"":""MultiPoint"",""coordinates"":[]}"
20121224T22_00000000000000000000,290.57006079780973,3858.0,-0.011537748679822064,-7.345364920210326E-25,2.247906853937607E7,-6785334.147403858,96858.35783358374,298.12936129247163,2.670421127107096E-5,-2.910329548712688,0.9351256179548686,0.25014022047713214,0.2772594590171772,0.2954900054153007,0.36005508011059306,"{""type"":""MultiPoint"",""coordinates"":[]}"
20121224T23_00000000000000000000,291.11218594202853,3858.0,-0.011738032286801413,-7.345364920210326E-25,2.247906853937607E7,-7058509.804881896,96938.82322764871,297.2739088070612,2.683015308852501E-5,-2.6163517439583,0.6826080068608021,0.25011119594691356,0.27725840826464504,0.2954900054153007,0.36005311667232454,"{""type"":""MultiPoint"",""coordinates"":[]}"
20121225T00_00000000000000000000,291.46778363357225,3858.0,-0.011884408773717875,-7.345364920210326E-25,2.247906853937607E7,-7319867.021673943,96976.90252479087,296.56696554815363,2.707940908955855E-5,-2.2900911024439705,0.4859430607204663,0.25009048271670836,0.27725694652258176,0.29549117175863854,0.36005200732167564,"{""type"":""MultiPoint"",""coordinates"":[]}"
