Bacia,Estações,Melhor Resultado
637942,COOPERATIVA 1. BRAÇO,0
637952,CUNANI,0
637956,"CALÇOENE, CALÇOENE, CALÇOENE",2
637962,CALAFATE,0
637986,TARTARUGALZINHO,0
641244,FOZ DO RIO CAMAIPI,0
641246,FOZ DO RIO CAMAIPI,0
641272,"RIO PRETO, FOZ DO RIO PRETO",0
641544,FOZ DO RIO MURIACA,0
641546,FOZ DO RIO BOCA DO BRAÇO,0
642122,FAZENDA BOA ESPERANÇA,0
642154,VITÓRIA DO XINGU,0
642156,UHE BELO MONTE JUSANTE,0
642158,ANAPU,0
642266,ALDEIA BAÚ,0
642352,SÃO JOSÉ  X-6,0
642514,PORTO SEGURO,0
642726,"DARRO I (Ponte Km 40), DARRO II (Barra do rio Darro)",0
642728,"BONITO  (Ribeirão Bonito), CÓRREGO TRINTA (BR-158  kM 30)(Próx Alô brasil)",0
642998,"PONTE DE PEDRA, PCH PARANATINGA I MONTANTE 3",0
643478,LAJEIRO,0
643634,"CACHOEIRA DO PALHÃO  PF-16, CACHOEIRA DO PALHÃO  PF-17",1
643644,UHE CURUÁ-UNA RIO MOJUÍ,0
644114,SÃO BRAZ,0
644446,"PCH CABEÇA DE BOI RIO CABEÇA DE BOI, PCH CABEÇA DE BOI BARRAMENTO, UHE SALTO APIACÁS RIO PIAU",1
644448,PCH CABEÇA DE BOI RIO TAPAIUNA,0
644452,"UHE TELES PIRES RIO PARANAITA, UHE TELES PIRES RIO PARANAITA DESATIVADA, UHE TELES PIRES RESERVATÓRIO 19, UHE TELES PIRES RESERVATÓRIO 11, UHE TELES PIRES RESERVATÓRIO 10, UHE TELES PIRES RESERVATÓRIO 9",0
644454,UHE TELES PIRES RIO SANTA HELENA,0
644456,UHE TELES PIRES RIO CRISTALINO,0
644464,"PCH BRAÇO NORTE III RIO SÃO BENTO, BASE DO CACHIMBO, PCH BRAÇO NORTE III MONTANTE 2, CACHIMBO, PCH BRAÇO NORTE RIO BRAÇO SUL, PCH BRAÇO NORTE III MONTANTE 1, PCH BRAÇO NORTE III BARRAMENTO, PCH BRAÇO NORTE III  (Guarantã Energética Ltda), PCH BRAÇO NORTE III CÓRREGO QUINZE DE NOVEMBRO, PCH BRAÇO NORTE IV BARRAMENTO, PCH BRAÇO NORTE IV JUSANTE, PCH BRAÇO NORTE II RESERVATÓRIO, PCH BRAÇO NORTE II BARRAMENTO, PCH BRAÇO NORTE II JUSANTE, PCH BRAÇO NORTE MONTANTE, PCH BRAÇO NORTE BARRAMENTO, PCH BRAÇO NORTE JUSANTE",7
644476,UHE COLÍDER RIO RENATO,0
644484,"CGH APROVALE BARRAMENTO, CGH APROVALE JUSANTE, PCH APROVALE",1
644486,PCH CANOA QUEBRADA MONTANTE 2,0
644488,PCH CANOA QUEBRADA MONTANTE 1,0
644492,"FAZENDA CERON, SORRISO",1
644616,"CGH FAZENDA MODELO BARRAMENTO, CGH FAZENDA MODELO JUSANTE",0
644624,CAIABIS (BALSA - ITAPAIUNA),0
644684,CGH BURITIZAL MONTANTE,0
644688,CGH SANTO ANTÔNIO I JUSANTE,0
644692,"PCH NOVA MUTUM MONTANTE, FAZENDA RECANTO, PCH NOVA MUTUM BARRRAMENTO, PCH NOVA MUTUM JUSANTE",0
644922,"FAZENDA DANIEL, PONTE QUEBRADA, LAGOA DO LIXÃO, CAPTAÇÃO DO DAE, LAGOA DO CTG, PONTE CASTANHEIRA, FAZENDA TRÊS QUEDAS, PONTE ESCOLA AGRÍCOLA",3
644944,"PCH BURITI MONTANTE 2, PCH BURITI MONTANTE 1, PCH BURITI BARRAMENTO, PCH BURITI JUSANTE, FAZENDA RODIAL, SAPEZAL, PONTE ANTIGA BR-364, CGH ÁGUA QUENTE MONTANTE",1
644948,"PONTE MT-235 (Rio Verde), PCH SACRE 2 RIO VERDE, PCH SACRE 2 RIO VERDE DESATIVADA, TOCO DE AROEIRA",1
644982,PCH RONDON BARRAMENTO,0
644986,CONQUISTA DO OESTE,0
644992,"CAMPO NOVO DO PARECIS, PCH DIVISA MONTANTE 2, PCH DIVISA MONTANTE 1, PCH DIVISA BARRAMENTO, PCH DIVISA JUSANTE",1
645126,CURUAI,0
645222,"MB-01, SA-03",1
645224,RIO UATUMÃ (PONTE DE BALBINA),0
645284,TURUNA,0
645294,"ANANAI, CACHOEIRA DA ÉGUA",1
645456,OSÓRIO FONSECA,0
645498,BOA FÉ,0
645622,RIO ITABANI,0
645626,PONTE RIO URUBU,0
645646,"POSTO FUNAI, UHE BALBINA MONTANTE",0
645648,UHE BALBINA RIO PITINGUINHA,0
645694,PCH ALTO JATAPU RIO BARARATI,0
646124,"URUCURITUBA, IGARAPÉ SÃO RAIMUNDO",1
646242,MINERAÇÃO SÃO FRANCISCO,0
646244,ESPIGÃO D'OESTE,0
646256,BOCA DO GUARIBA,0
646292,FAZENDA BALAROTE (CANAMA),0
646316,FAZENDA BELA VISTA,0
646322,MAICI-MIRIM,0
646338,HUMAITÁ,0
646342,"UNIÃO, PCH MACHADINHO 1, PIRATININGA, MACHADINHO D'OESTE",3
646344,"JARUARU, JARU, JARU, CACHOEIRA BOM JARDIM, PARAÍSO",4
646348,"CACHOEIRINHA, PCH CACHOEIRA MONTANTE, PCH CACHOEIRA BARRAMENTO, CACHOEIRA  AVILA F01, F-02, F-05, PCH APERTADINHO JUSANTE, MINERAÇÃO GOYAN , BARÃO DO MELGAÇO, APERTADO, UHE RONDON II MONTANTE 2, PCH CACHOEIRA MONTANTE, UHE RONDON II MONTANTE 1, UHE RONDON II RESERVATÓRIO, UHE RONDON II BARRAMENTO, UHE RONDON II JUSANTE, FAZENDA FLOR DO CAMPO, PONTE COMEMORAÇÃO (PIMENTA BUENO)",4
646352,"MINERAÇÃO JACUNDÁ, ITAPUÃ DO OESTE, CALAMA",1
646362,"SEÇÃO S-23, BURITIS, PCH CACHOEIRA FORMOSA, SANTA BÁRBARA, SANTA ISABEL, CANDEIAS DO JAMARI",4
646364,"UHE SAMUEL RIO PRETO DO CRESPO, PONTE DO RIO PRETO DO CRESPO",0
646366,"UHE SAMUEL RIO BRANCO, FAZENDA RIO BRANCO, PONTE DO RIO BRANCO",2
646368,"PCH SANTA CRUZ DE MONTE NEGRO JUSANTE, PCH CANAÃ MONTANTE 2, PCH JAMARI RIO CANAÃ, PCH CANAÃ MONTANTE 1, PCH CANAÃ BARRAMENTO, PCH CANAÃ JUSANTE, CACHOEIRA ESCALVADO, PCH JAMARI JUSANTE 3",3
646374,"SERINGAL DAS ARARAS, UHE SANTO ANTÔNIO MONTANTE JACIPARANÁ, PORTO VELHO, SANTO INÁCIO, UHE SANTO ANTÔNIO JACIPARANÁ VILA, JACIPARANÁ",2
646378,UHE JIRAU VELHA MUTUM-PARANÁ,0
646562,"PRÓXIMO GUAJARÁ-MIRIM, BOCA DO POMPEU - MONTANTE, BOCA DO POMPEU - JUSANTE",0
646564,BOA VISTA DO PACAÁS,0
646942,SÃO FRANCISCO DO GUAPORÉ,0
646968,"PCH RIO BRANCO BARRAMENTO, PCH FIGUEIRA MONTANTE, PCH FIGUEIRA BARRAMENTO, PCH FIGUEIRA JUSANTE, PCH SALDANHA JUSANTE, PCH MONTE BELO BARRAMENTO, PCH MONTE BELO JUSANTE",4
646972,"CGH SANTA LUZIA D'OESTE MONTANTE, CGH SANTA LUZIA D'OESTE JUSANTE",0
646976,"CGH SÃO JOÃO PA BARRAMENTO, CGH SÃO JOÃO PA JUSANTE, CGH ALTOÉ II BARRAMENTO, CGH ALTOÉ II JUSANTE",3
646978,CORUMBIARA,0
646992,"PCH CABIXI II BARRAMENTO, PCH CABIXI II JUSANTE, PCH CABIXI BARRAMENTO, PCH CABIXI JUSANTE, PRÓXIMO VILHENA, CABIXI, CABIXI, PRÓXIMO VILHENA, CGH RIO VERMELHO BARRAMENTO, CGH RIO VERMELHO JUSANTE",2
646994,"PCH SALTO CORGÃO BARRAMENTO, PCH SALTO CORGÃO JUSANTE",0
646998,FAZENDA INDIARAMA,0
648114,RIO PURAQUEQUARA,0
648116,"IGARAPÉ BARRO BRANCO (AV. JOSÉ LINDOSO), BACIA REPRESENTATIVA, BACIA REPRESENTATIVA, IGARAPÉ TARUMÃ-AÇU (RAMAL DO PAU ROSA), RIO TARUMÃ - MONTANTE, IGARAPÉ DO BOLIVIA (PONTE TORQUARTO), IGARAPÉ DO PASSARINHO (AV.TEN. ROXANA), RIO TARUMÃ - JUSANTE",0
648118,MONTANTE FOZ TARUMÃ,0
648132,PONTE DO RIO ARIAÚ,0
648162,BARURI,0
648412,BOTO,0
648422,"CARACARAÍ, CANTA",0
648444,CARACARAÍ,0
648476,"FAZENDA RECREIO, BOA VISTA, BOA VISTA, BOA VISTA, SÍTIO JARAGUÁ",3
648482,"VILA SURUMU, PACARAIMA, GAVIÃO, FAZENDA BANDEIRA BRANCA, BACURAU, TIPOREN, MALOCA DO CONTÃO, PACARAIMA, SANTO ANTÔNIO II",7
648484,"RIO MAÚ, FAZENDA NOVO DESTINO, FAZENDA NOVO DESTINO, MALOCA AILAN",2
648494,"AMAJARI, MOCIDADE, BOA VISTA",1
648498,"MISSÃO AUARI, MISSÃO AUARIS - JUSANTE",0
648718,CACHOEIRA ALIANÇA,0
648722,"VILA CONCEIÇÃO - MONTANTE, VILA CONCEIÇÃO",1
648742,ACARIQUARA,0
648746,BACURI,0
648758,MISSÃO MATURACÁ,0
648928,LOURO POÇO,0
649136,"RIO MIRITI - MONTANTE, RIRIO MIRITI",0
649222,BACABA,0
649232,CRISTO,0
649246,CACHOEIRA SANTO ANTÔNIO,0
649248,CACHOEIRA DO MEIO,0
649254,"SERINGAL SÃO PEDRO, FAZENDA BORANGABA",1
649266,"ESPALHA (Seringal Belo Horizonte), RIO ROLA (Ramal do Barro Alto), FAZENDA SANTO AFONSO",0
649268,"COLÔNIA DOLORES (XAPURI), XAPURI",1
649282,SERINGAL GUARANY,0
649284,FAZENDA REPOUSO (Rio Macauã),0
649292,"PARQUE CHANDLESS, FAZENDA JUSSARA",1
649336,ITAPÉUA,0
649392,LARANJAL,0
649414,BARREIRINHA,0
649644,"JORDÃO, SERINGAL SÃO LUIZ, SERINGAL SÃO LUIZ, TARAUACÁ, PONTE DE TARAUACÁ, TARAUACÁ - JUSANTE, TARAUACÁ, SERINGAL MUCURIPE",7
649652,FAZENDA MOURÃO,0
649672,"COMUNIDADE GUARANI, SERINGAL BOM FUTURO, PONTE DO RIO LIBERDADE",1
649696,THAUMATURGO,0
649724,BARREIRA BRANCA,0
649728,TANIBUCA,0
649754,TRÊS BOCAS,0
649762,"RESTAURAÇÃO, SERINGAL DO ITUI, LADÁRIO, LADÁRIO - JUSANTE",1
649764,SANTA MARIA/FLORES,0
662224,"TOMÉ-AÇU 1, TOMÉ-AÇU, TOMÉ-AÇU",2
662292,GOIANÉSIA DO PARÁ,0
662364,"BOA VISTA, MACAPAZINHO",0
662436,MARAMBAIA,0
662596,IPIXUNA DO PARÁ,0
662784,GOIANÉSIA DO PARÁ 1,0
662816,GOIANÉSIA DO PARÁ (ARURANDEUA),0
662918,GOIANÉSIA DO PARÁ (SURUBIJU),0
663622,ABAETETUBA 2,0
665152,ITUQUARA,0
665172,MURU,0
665386,GOIANÉSIA DO PARÁ (MOJU),0
665622,ELDORADO DOS CARAJÁS (SOROROZINHO),0
665646,"ELDORADO DOS CARAJÁS, CURIONÓPOLIS",1
665674,JACARÉ,0
666154,"UHE ESTREITO JUSANTE, TOCANTINÓPOLIS, TOCANTINÓPOLIS",0
666172,UHE ESTREITO BARRAMENTO,0
666286,ALTOS LINDOS,0
666324,"ITACAJA, UHE ESTREITO RIO MANOEL ALVES PEQUENO",1
666372,"COLMÉIA, ITAPORÃ",0
666424,NOVO ACORDO,0
666444,PCH ISAMU IKEDA RIO PONTE ALTA,0
666512,"BARROLÂNDIA, MIRNORTE, RIO PROVIDÊNCIA",1
666514,"PARAÍSO DO TOCANTINS, UHE LUÍS EDUARDO MAGALHÃES SANTA LUZIA",1
666516,"SANTA RITA, UHE LUÍS EDUARDO MAGALHÃES MANGUES, PARAISO DO TOCANTINS",0
666518,"SILVANÓPOLIS, UHE LUÍS EDUARDO MAGALHÃES AREIAS, PORTO NACIONAL",0
666524,PIUM,0
666538,"SANTA ROSA, IPUEIRAS",1
666542,"FAZENDA MARIANA, SÃO VALÉRIO, PCH AGRO TRAFO RIO BAGAGEM, SANTA ROSA DO TOCANTINS",1
666546,"NATIVIDADE, RIO DO PEIXE - ALMAS - TO",1
666548,FAZENDA BARRA NOVA,0
666552,SÃO VALÉRIO,0
666562,"GURUPI, PONTE RIO XAVANTE",1
666584,"ALVORADA, ALVORADA, FAZENDA SALINA",2
666596,UHE PEIXE ANGICAL RESERVATÓRIO 14,0
666598,"AHE PEIXE - MIRA E, UHE PEIXE ANGICAL RESERVATÓRIO 10",1
666616,UHE PEIXE ANGICAL RESERVATÓRIO 5,0
666622,FAZENDA IPUEIRA DA CANOA,0
666624,"PCH PIARUCUM MONTANTE, CGH SIRIVERA MONTANTE, CGH SIRIVERA BARRAMENTO, CGH PALMEIRAS BARRAMENTO, CGH SUCURI JUSANTE, CGH PALMEIRAS JUSANTE, PCH PIARUCUM BARRAMENTO, PCH AGRO TRAFO MONTANTE 2, NOVO JARDIM, PCH AGRO TRAFO MONTANTE, PCH AGRO TRAFO BARRAMENTO, PCH AGRO TRAFO JUSANTE, PCH ÁGUA LIMPA BARRAMENTO, PCH ÁGUA LIMPA JUSANTE, PCH AREIA BARRAMENTO, PCH AREIA JUSANTE, PCH DOIDO BARRAMENTO, PCH DOIDO JUSANTE, PCH DIACAL II MONTANTE, PCH DIACAL II BARRAMENTO, PCH DIACAL - JUSANTE, PCH SÍTIO CAETANA (LARROSA & SANTOS), PCH PORTO FRANCO RESERVATÓRIO 2, PCH PORTO FRANCO RESERVATÓRIO 1, PCH PORTO FRANCO BARRAMENTO, PCH PORTO FRANCO JUSANTE, PCH BOA SORTE BARRAMENTO, PCH BOA SORTE JUSANTE, PCH RIACHO PRETO BARRAMENTO, PCH RIACHO PRETO JUSANTE, PCH LAGOA GRANDE RESERVATÓRIO 1, PCH LAGOA GRANDE RIBEIRÃO DO INFERNO, PCH LAGOA GRANDE RESERVATÓRIO 2, PCH SÍTIO LAGOA GRANDE JUSANTE, PCH LAGOA GRANDE RESERVATÓRIO 3, PCH LAGOA GRANDE BARRAMENTO, PCH LAGOA GRANDE JUSANTE, RIO PALMEIRAS - TAIPAS, PONTE ALTA DO BOM JESUS",38
666626,"TAGUATINGA, PONTE ALTA DO BOM JESUS, TAIPAS",1
