cod_otto,Nome
649764,SANTA MARIA/FLORES
649762,RESTAURAÇÃO
649762,SERINGAL DO ITUI
649762,LADÁRIO
649762,LADÁRIO - JUSANTE
649754,TRÊS BOCAS
649728,TANIBUCA
649724,BARREIRA BRANCA
649696,THAUMATURGO
649672,COMUNIDADE GUARANI
649672,SERINGAL BOM FUTURO
649672,PONTE DO RIO LIBERDADE
649652,FAZENDA MOURÃO
649644,JORDÃO
649644,SERINGAL SÃO LUIZ
649644,SERINGAL SÃO LUIZ
649644,TARAUACÁ
649644,PONTE DE TARAUACÁ
649644,TARAUACÁ - JUSANTE
649644,TARAUACÁ
649644,SERINGAL MUCURIPE
649414,BARREIRINHA
649392,LARANJAL
649336,ITAPÉUA
649292,PARQUE CHANDLESS
649292,FAZENDA JUSSARA
649284,FAZENDA REPOUSO (Rio Macauã)
649282,SERINGAL GUARANY
649268,COLÔNIA DOLORES (XAPURI)
649268,XAPURI
649266,ESPALHA (Seringal Belo Horizonte)
649266,RIO ROLA (Ramal do Barro Alto)
649266,FAZENDA SANTO AFONSO
649254,SERINGAL SÃO PEDRO
649254,FAZENDA BORANGABA
649248,CACHOEIRA DO MEIO
649246,CACHOEIRA SANTO ANTÔNIO
649232,CRISTO
649222,BACABA
648928,LOURO POÇO
649136,RIO MIRITI - MONTANTE
649136,RIRIO MIRITI
648476,FAZENDA RECREIO
648116,IGARAPÉ BARRO BRANCO (AV. JOSÉ LINDOSO)
648758,MISSÃO MATURACÁ
648746,BACURI
648742,ACARIQUARA
648718,CACHOEIRA ALIANÇA
648722,VILA CONCEIÇÃO - MONTANTE
648722,VILA CONCEIÇÃO
648498,MISSÃO AUARI
648498,MISSÃO AUARIS - JUSANTE
648494,AMAJARI
648494,MOCIDADE
648494,BOA VISTA
648484,RIO MAÚ
648484,FAZENDA NOVO DESTINO
648484,FAZENDA NOVO DESTINO
648482,VILA SURUMU
648482,PACARAIMA
648482,GAVIÃO
648482,FAZENDA BANDEIRA BRANCA
648482,BACURAU
648482,TIPOREN
648482,MALOCA DO CONTÃO
648482,PACARAIMA
648482,SANTO ANTÔNIO II
648484,MALOCA AILAN
648476,BOA VISTA
648476,BOA VISTA
648476,BOA VISTA
648476,SÍTIO JARAGUÁ
648412,BOTO
648444,CARACARAÍ
648422,CARACARAÍ
648422,CANTA
648162,BARURI
648132,PONTE DO RIO ARIAÚ
648118,MONTANTE FOZ TARUMÃ
648116,BACIA REPRESENTATIVA
648116,BACIA REPRESENTATIVA
648116,IGARAPÉ TARUMÃ-AÇU (RAMAL DO PAU ROSA)
648116,RIO TARUMÃ - MONTANTE
648116,IGARAPÉ DO BOLIVIA (PONTE TORQUARTO)
648116,IGARAPÉ DO PASSARINHO (AV.TEN. ROXANA)
648116,RIO TARUMÃ - JUSANTE
646124,URUCURITUBA
646998,FAZENDA INDIARAMA
646994,PCH SALTO CORGÃO BARRAMENTO
646994,PCH SALTO CORGÃO JUSANTE
646992,PCH CABIXI II BARRAMENTO
646992,PCH CABIXI II JUSANTE
646992,PCH CABIXI BARRAMENTO
646992,PCH CABIXI JUSANTE
646992,PRÓXIMO VILHENA
646992,CABIXI
646992,CABIXI
646992,PRÓXIMO VILHENA
646992,CGH RIO VERMELHO BARRAMENTO
646992,CGH RIO VERMELHO JUSANTE
646978,CORUMBIARA
646972,CGH SANTA LUZIA D'OESTE MONTANTE
646972,CGH SANTA LUZIA D'OESTE JUSANTE
646976,CGH SÃO JOÃO PA BARRAMENTO
646976,CGH SÃO JOÃO PA JUSANTE
646976,CGH ALTOÉ II BARRAMENTO
646976,CGH ALTOÉ II JUSANTE
646968,PCH RIO BRANCO BARRAMENTO
646968,PCH FIGUEIRA MONTANTE
646968,PCH FIGUEIRA BARRAMENTO
646968,PCH FIGUEIRA JUSANTE
646968,PCH SALDANHA JUSANTE
646968,PCH MONTE BELO BARRAMENTO
646968,PCH MONTE BELO JUSANTE
